Date,pdx,pds,plx,pls,cbx,cbs,cpx,cps
2003-01-01,258,47806.22,162,48506.84999999999,160,25260.039999999997,287,83758.84999999999
2003-02-01,349,55287.030000000006,204,48309.05,376,56751.910000000025,200,52267.649999999994
2003-03-01,375,62232.509999999995,334,81314.59999999998,495,82218.07999999999,224,60334.01000000001
2003-04-01,402,71880.06999999996,413,90177.39000000003,688,112881.10000000002,154,52320.23999999999
2003-05-01,372,61494.98999999996,325,68181.76,592,99571.27999999996,154,41398.909999999996
2003-06-01,702,90118.18000000002,654,133368.59999999998,1172,174844.00000000012,274,65689.89000000001
2003-07-01,724,105706.0,776,144218.85999999996,1378,203646.0700000001,253,71538.60999999997
2003-08-01,651,74652.08,620,118548.83,1136,158229.24000000008,255,54421.77000000002
2003-09-01,605,87088.92000000003,444,80097.48999999996,1039,149930.26999999993,214,68611.65
2003-10-01,659,78714.29000000001,500,100592.86999999998,1190,180049.04000000007,211,46311.26000000001
2003-11-01,538,65736.59,365,66652.69000000002,1070,158260.94,139,137850.99
2003-12-01,676,129458.92999999995,450,109806.87000000001,1171,210879.77000000005,240,83571.49000000003
2004-01-01,721,99073.09000000001,482,101040.00999999997,1440,223219.56999999992,201,47743.68
2004-02-01,873,133835.06999999998,433,83074.93999999999,1525,258321.39999999997,337,78422.96999999999
2004-03-01,733,93994.62999999999,748,148152.97000000015,1383,217269.9599999999,221,44901.95
2004-04-01,562,71147.97000000009,695,150948.99999999997,1088,171845.93000000014,186,63948.55000000001
2004-05-01,858,113931.54000000001,1007,196328.29000000007,1670,261424.43000000008,214,51764.85
2004-06-01,687,110055.26000000005,748,177707.77999999988,1387,247477.56999999986,188,61806.86
2004-07-01,563,75676.99000000005,618,147055.85999999996,1121,190188.99999999985,202,74699.75
2004-08-01,627,74633.61999999998,688,153178.75000000017,1190,202836.84000000008,222,62887.17000000002
2004-09-01,528,74108.18000000002,764,153084.5400000001,1175,198324.88000000024,197,51036.109999999986
2004-10-01,487,65825.14999999994,637,117793.73000000001,1063,167496.2499999999,184,49979.07999999997
2004-11-01,505,67556.89999999998,588,95999.92000000001,941,133123.19000000006,193,65134.68999999999
2004-12-01,510,97614.23,738,135711.71999999988,1021,166510.41999999972,236,80700.02999999998
2005-01-01,569,71568.38999999994,822,125664.83000000002,1217,155899.99000000002,184,45858.78999999998
2005-02-01,382,51230.399999999994,528,114542.52999999991,870,136920.69999999995,150,57684.16000000002
2005-03-01,490,64202.02999999996,689,130955.84999999993,1010,145576.30999999982,215,57133.00999999998
2005-04-01,423,63184.94000000004,640,115990.1700000001,899,147195.13000000006,173,35250.42000000003
2005-05-01,404,58351.19999999999,632,106519.89999999997,884,130614.33000000002,164,39896.92999999999
2005-06-01,394,58667.01999999999,610,96144.75000000004,809,111524.1700000001,192,44335.76999999998
2005-07-01,332,52281.349999999984,540,76381.87000000001,695,96917.69000000003,174,33072.149999999994
